YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS
122,0.591791045,988.595911,8418.71555,8.515830842,17.6,80.3,45.77,0.75
123,0.4,371.2,3059.2,8.24137931,17.1,82.9,48.61,0.58
125,0.603552311,578.9533119,18863.05652,32.5813086,22.4,186.3,54.9,0.42
126,0.3234,75.19932,1180.71576,15.70114943,18.6,127.6,57.62,0.19
127,0.522450372,1071.934276,16638.05684,15.52152703,19.9,114,50.39,1.06
128,0.266704465,69.77237952,226.8698565,3.251571153,16.1,36.9,37.41,0.26
130,0.34751269,170.8592337,225.4260094,1.319366853,12.1,31.4,44.96,0.38
131,0.15877095,20.49562054,376.8509833,18.38690283,20.4,123.9,53.89,0.22
132,0.337847682,182.4008508,17593.83908,96.45700116,23.5,500.1,92.97,0.43
133,0.743326087,204.3652694,5470.715801,26.76930291,21.8,159.5,47.32,0.1
134,0.3234,26.79516,153.85608,5.741935484,17,58.6,42.26,0.06
135,0.245,36.94345592,549.3797052,14.87082601,19.1,115,46.59,0.16
136,0.37963964,85.97688499,883.3092119,10.27379873,19.3,78.4,43.49,0.16
137,0.277358491,20.51406194,319.6774653,15.58333333,18.7,127.2,48.46,0.07
138,0.101142857,45.60820408,1681.678204,36.87227414,26.7,154.5,45.71,1.16
139,0.190322581,393.6387064,11135.36266,28.28828181,25.8,131.9,45.26,2.96
141,0.285196375,729.3321072,1793.62321,2.459268133,14.6,37.6,55.09,2.46
143,0.473,62.64412,935.18722,14.92857143,19.7,109,46.64,0.07
144,0.2655,62.658,267.16675,4.263888889,15.6,52.6,52.04,0.26
145,0.13,850.9,61340.6,72.08908215,11,3064.4,59.29,13.65
147,0.29037037,445.5811004,1521.475019,3.414586071,15.6,43,42.21,1.46
149,0.397559367,124.5961392,2059.102671,16.5262157,20,115.9,47.86,0.21
150,0.281658291,16.70134593,156.4652408,9.368421053,20.1,65.6,38.46,0.06
151,0.853741081,2026.864872,3843.24471,1.896152409,13.9,31.7,48.64,0.73
152,0.353912072,175.8510331,849.1896257,4.829028358,13.6,84.8,50.13,0.37
153,0.163065327,59.83476932,1132.18424,18.92184516,20.7,126.5,55.08,0.59
154,0.198404908,238.7896571,3464.157992,14.50715259,20,443.3,51.71,1.62
155,0.8888,65.2864,1847.60512,28.3,24.4,134.9,45,0.02
156,0.1419,713.69551,33572.77374,47.04075235,36.3,139.7,45.11,7.68
157,0.1068,40.55552,1070.9192,26.40625,22.9,143.3,60.27,0.85
158,0.965411222,5945.068497,11899.64359,2.001599072,14.4,31.1,41.76,1.71
159,0.281029412,42.87685446,372.6898248,8.692098093,16.6,91.7,52.37,0.14
161,0.341,10.571,171.058,16.18181818,22.8,92.2,39.98,0.02
162,0.492857143,1701.27551,21011.32653,12.35033738,19.8,93.2,50,1.88
163,0.321818182,719.4450248,5614.24886,7.803582853,18.7,66,43.72,1.84
164,0.2184,25.17424,67.57296,2.684210526,15.2,34.9,37.97,0.12
165,0.299609375,65.46527863,591.8432999,9.040567951,17.8,82,44.52,0.2
166,0.376,53.72288,737.98272,13.73684211,19.7,99.5,44.01,0.09
167,1.054612352,3222.84849,3085.926984,0.957515376,13.3,18,34.63,0.78
168,0.9401,649.31364,12751.79843,19.63888889,20.4,133.6,47.4,0.2
