YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
155,28.3,24.4,134.9,45,0.02
156,47.04075235,36.3,139.7,45.11,7.68
157,26.40625,22.9,143.3,60.27,0.85
158,2.001599072,14.4,31.1,41.76,1.71
159,8.692098093,16.6,91.7,52.37,0.14
161,16.18181818,22.8,92.2,39.98,0.02
162,12.35033738,19.8,93.2,50,1.88
163,7.803582853,18.7,66,43.72,1.84
164,2.684210526,15.2,34.9,37.97,0.12
165,9.040567951,17.8,82,44.52,0.2
166,13.73684211,19.7,99.5,44.01,0.09
167,0.957515376,13.3,18,34.63,0.78
168,19.63888889,20.4,133.6,47.4,0.2
169,2.962962963,14.5,44,45.53,0.67
170,6.886363636,17.7,64.2,46.47,0.36
171,34.53540904,22.6,190.7,48.46,0.14
173,4.114285714,15.1,53.7,46.51,0.13
174,3.286764706,15.4,41.7,41.18,0.28
175,5.282485876,16.3,59.4,45.03,1.01
177,5.195876289,15.7,63,53.12,0.27
179,0.786729858,13,15.4,29.18,0.53
180,25.38922156,22.1,150.9,67.22,1.18
181,36.79220779,25.6,162.9,51,0.31
182,5.888888889,16.8,58.7,44.62,0.09
185,64.82908889,26.9,264.3,51.66,0.49
186,192.2084216,25.2,866.5,53.46,0.06
187,2.020671835,14.3,30.2,39.12,0.18
188,1.982188295,11.8,51.4,48.61,0.29
189,1.523269542,13.7,26.5,41.5,1.03
190,31.48571429,23,170.4,50.5,0.13
191,6.640621762,17.4,63.8,43.16,0.07
192,26.10269633,21.1,165.2,58.11,0.08
195,20.89271858,20.8,139.8,56.72,1.07
196,7.730919412,17.3,76.2,57.55,0.99
197,30.25,21.2,187.8,50.16,0.15
198,62.96597353,30.1,216.2,55.45,1.28
199,8.369455006,17.1,82.6,46.66,0.16
200,2.551875119,13.7,43.5,45.65,0.1
201,52.96219766,23.8,265.3,52.24,0.06
202,12.43575064,17.7,113.6,49.1,0.28
203,3.544320215,15,48.8,50.2,0.87
204,0.186777139,11.3,5.5,17.08,0.72
205,23.61740707,20.8,153.8,49.56,0.27
206,18.24324324,19.7,132.1,49.49,0.11
207,30.92152466,31.3,100.2,31.63,0.01
208,8.924557869,17.5,84.2,48.76,0.42
209,4.529530881,16.4,50.4,46.06,0.71
210,1.479184604,14,24.4,40.84,1.57
211,26.39192399,20.2,559.5,65.1,0.11
212,63.78855721,24,1037.5,54.27,0.25
213,35.32930873,25.9,160.2,53.6,2.12
214,27.79878049,24.2,137.1,42.63,0.03
215,5.262412004,15.8,61.8,46.04,0.23
217,7.452202826,18.3,64.9,42.77,0.99
220,43.11431408,26.1,186.7,50.06,0.71
223,20.73333333,23.4,107.4,41.26,0.03
224,24.57123088,19.9,176.6,50.28,0.34
225,15.24683544,19.4,115.1,50.19,0.34
226,1.011380216,12.7,21.1,41.39,0.59
227,16.8,22.2,93.8,42.24,0.03
230,1.154640609,20,11.1,22.3,13.6
232,0.302287788,10.5,11.5,37.78,1.79
235,9.431034483,21.6,63.7,42.6,4.19
236,5.850807236,16.7,61.4,56.91,0.28
237,1.540434735,14.1,26.1,41.34,3.5
241,8.254290996,15.8,98,50.3,0.19
242,4.045776199,17.1,40.3,37.24,0.44
244,5.539782106,15.8,64.6,47.46,0.13
247,35.60699505,34.4,105.2,37.98,3.93
248,5.268458274,17.2,52.8,50.65,1
249,6.121621622,12,147.5,67.39,0.07
250,3,16.2,33.7,44.16,0.38
252,10.08434229,17.2,101,69.72,1.31
253,18.08224907,23.1,97.1,41.89,0.52
254,7.250968609,15.3,92.8,48.28,0.08
255,46,26.2,193.2,47.31,0.11
257,43.34478477,26.6,181.9,54.1,0.9
258,5.207070707,15.7,64.1,55.56,0.83
259,19,18.5,162.4,52.84,0.04
260,4.379087405,15.9,51.7,42.36,0.33
262,8.480715981,18.7,68.9,45.17,0.28
263,3.085106383,15,41.4,40.8,0.24
264,18.84528542,27.2,75.6,35.17,0.52
268,15.77631487,21.6,96.8,47.64,0.48
270,4.364754753,17.2,43,37.18,0.34
271,0.240849053,12.1,6,17.48,1.95
272,24.21583484,25,120.6,49.49,3.21
275,5.411708022,16.9,55.5,42.88,0.15
276,7.00323274,17.7,71.8,48.87,4.53
277,8.024692745,17.5,77.3,51.5,0.93
278,12.15135357,23.4,67.1,37.57,2.61
280,34.87355313,18.7,280.1,56.65,0.13
281,25.39182775,24.7,121.1,46.27,0.75
284,1.099199876,15,14.8,23.24,0.16
286,6.849604222,17.4,65.9,48.31,0.26
291,6.93140454,17.2,70.4,58.79,1.61
296,11.55143999,20.9,80,42.95,2.76
298,1.28823378,15.4,16.3,23.86,0.2
299,13.8187251,19.9,98.5,47.6,0.13
300,7.422870756,18.7,61.3,41.33,0.44
301,5.625463385,18,51.1,41.96,0.99
302,14.70512732,17.9,132.9,49.83,0.54
303,15.10340705,20.1,106,44.91,0.16
304,5.768590053,16.4,63.6,43.78,0.57
305,12.99617486,19.4,99.1,56.98,0.48
306,7.202247191,16.5,77.4,45.31,0.29
307,6.6,15.5,90.1,48.79,0.32
308,94.52842105,31.8,298.6,53.71,1.52
310,23.28446064,22.1,141.3,64.47,1.8
311,34.63152709,22.7,192.1,59.52,0.3
312,6.974494199,16.8,71.2,43.85,0.13
313,16.89283762,20.2,117.5,52.86,0.07
314,2.558823529,15.8,30.1,33.6,0.07
315,1.93495935,13.3,0.5,44.76,0.25
316,3.001031992,16.5,32,32.61,0.18
317,1.403636017,13.6,24.5,37.74,0.79
318,34.95819761,24.1,173.5,47.41,0.04
319,3.416486068,14.7,48.9,45.18,0.36
320,13.34041688,18.6,110.2,46.56,0.09
321,5.484494994,15.2,72.3,48.26,0.3
322,1.736009605,15.4,23.1,34.58,1.95
324,12.65075313,21.6,78.5,44.19,1.16
326,4.607149648,17.1,46.2,45.13,0.37
327,2.687954259,16.1,30.8,35.05,0.47
328,13.6627907,20.7,89.9,44.35,0.04
330,15.40142539,22.1,92.6,44.42,1.4
331,1.820840951,12.6,40.3,45.88,1.44
334,102.6111316,28.3,385.1,84.31,0.66
335,0.230420712,9.4,12.5,42.13,0.69
336,12.85200827,18,114,50.89,0.31
337,6.210526316,16.3,67.2,51.37,0.13
338,21.90622414,22,131.2,51.97,1.1
339,2.595085424,16.1,29.9,35.83,0.37
340,26.04398564,20.4,176.1,50.19,0.11
341,5.266961186,12.6,112.3,50.94,0.18
342,7.071149752,16.2,79.8,46.3,0.11
343,8.525254383,15.9,102.1,51.45,0.89
345,5.255520505,16.5,57.1,52.08,0.31
346,22.10857538,19.6,163.2,48.47,0.07
350,8.665662651,18.3,73,42.35,0.08
351,18.74300053,24.9,95.7,43.23,4.06
353,75.47350331,32.7,234.8,47.75,2.82
355,5.151462995,15.5,64,47.42,0.17
356,13.48357727,18.1,118.1,48.83,0.14
357,21.6276126,21.1,138.6,48.3,0.46
360,82.91871456,30,283.5,46.72,0.03
361,1.112430633,14.3,17.4,33.57,1.53
363,35.69793285,23.7,181.1,50.47,0.24
365,25.13793103,24.1,122.5,45.82,0.09
366,3.209577465,14.3,49.6,47.22,0.59
367,25.88124071,21.5,159.1,46.31,0.1
369,27.55390335,24.4,133.2,44.22,0.16
370,65.11729943,26,276.4,49.41,0.06
372,14.30446031,19.8,103.5,54.03,0.23
373,8.003064494,19.6,66.4,44.94,4.87
374,20.01957295,19.2,155.6,72.99,0.48
375,472.0597015,37.9,1104.8,66.34,0.2
376,2.304832714,12.6,48.6,56.84,0.15
377,11.4937833,16.5,123.1,55.29,0.27
378,10.68303221,17.4,109.6,50.55,3.31
383,29.86363636,14.8,421.4,108.23,0.05
386,18.2905985,19.1,145.5,50.87,0.93
390,40.79825835,33.4,133.9,45.15,6.4
391,7.455786676,20.9,52.2,40.25,3.44
392,4.490877775,19.3,35.7,31.69,1.65
393,8.809330629,16.5,96.9,54.99,0.89
394,1.58565033,12.6,34.1,46.19,0.67
396,9.635041551,21.9,30.6,39.61,2.34
397,10.28634022,16.1,117.6,50.8,0.26
399,6.930080542,16.8,76.5,52.36,2.79
401,49.30861698,25.5,231.5,51.33,2.35
402,6.675948257,17.2,67.4,47.01,1.31
404,0.616333524,11.7,16.2,38.96,0.36
405,68.63945578,27.7,265.1,48.62,0.38
406,4.591335874,15.4,58,46.17,0.26
407,8.851614121,17.7,81.7,44.35,0.08
408,89.46643718,29.4,312.2,55.86,0.29
410,0.969556585,13.2,18.7,35.47,0.95
411,20.26923077,20.7,132.5,47.1,0.08
412,1.349632222,12.7,28.6,44.81,0.73
413,5.315643649,14.6,77.7,47.28,0.81
414,11.66590909,18.8,93.8,44.81,0.28
416,6.336734694,16.7,66.6,43.6,0.36
417,68.73912029,27,275.4,55.76,0.13
418,28.8862283,21.2,182.1,53.54,0.23
419,15.8,19,125.9,48.99,0.09
420,10.99174832,18.2,94.4,51.7,0.29
423,94.66666667,29.5,276.1,49.24,0.01
424,6.159344418,14.1,96.3,49.8,0.21
425,4.289473684,15.5,54.3,47.19,0.6
426,5.883439861,17.2,57.6,42.01,0.15
430,22.63922025,21.4,139.9,47.49,0.05
431,22.70978423,30.5,77.6,31.88,1.89
436,6.334146341,16.4,149.9,51.88,0.36
438,2.893617021,15.5,35.8,38.51,0.11
440,51.81294964,25.2,515.5,49.92,0.07
441,1.840534292,12.7,38.1,51.83,0.19
442,4.324541284,16.3,92.1,54.15,0.45
443,50.37779589,31.1,169.8,44.75,2.77
445,8.023876404,15.3,103.9,56.79,0.29
446,18.13468122,20,129.4,48.45,0.55
447,16.19481236,18.1,141.2,48.93,0.25
448,14.09090909,18.2,122,50.99,0.22
451,9.248810692,16.9,94.8,48.85,0.4
452,7.973219068,25.7,40.8,31.35,6.45
455,15.79950975,17.8,143.1,49.88,0.16
456,0.258333333,11.1,8.1,31.79,0.59
457,17.95292859,19.5,134.3,50.85,0.08
458,23.8384481,21.6,146.5,51.23,0.5
463,27.37310098,20.2,188.7,52.03,0.23
464,56.13344595,19.4,429.2,51.56,0.58
465,0.604754591,11.6,16.9,39.51,1.16
466,31.04738935,20.9,200.2,49.05,0.12
467,14.58822373,21.6,96.1,47.54,3.67
468,44.14713896,24.2,214.8,56.94,0.23
469,10.71604674,18.7,88.1,48,0.64
474,2.690181678,14,43.2,46.15,0.18
475,18.89688823,20.8,124.2,47.84,0.27
476,16.08756789,20.5,110.4,51.34,0.98
477,4.13410302,15.4,52.4,42.14,0.15
478,1.803032624,12.4,40,46.04,0.2
479,11.47826087,18.8,1.4,44.32,0.09
480,14.5622979,18.3,128,58.26,1.22
481,13.98708963,18.9,114.3,51.12,1.25
482,1.720695781,13.2,32.6,43.97,0.59
485,8.799033081,19.5,67.3,44.57,1.13
486,0.598449612,11.4,17.1,43.17,0.68
487,8.381259563,14.3,128.6,56.18,0.75
489,57.375,24.2,286.6,50.61,0.02
491,3.373431734,15.7,41.4,48.04,0.77
493,6.456800484,16.7,69.1,57.33,1.09
494,2.215200218,14.3,33.3,40.69,0.08
496,2.089147287,16.1,24.1,27.24,0.31
497,44.44032118,22.3,254.2,54.85,0.38
498,4.890078612,15.7,58.4,46.36,0.13
499,2.319567355,13.8,38.6,43.06,0.21
503,14.98531032,17.2,144.5,51.49,0.15
504,55.23076923,21.2,348.7,85.69,0.05
505,0.586206897,12.3,13.3,30.24,0.35
507,2.86370455,14,46.8,69.82,0.73
508,7.291546312,16.3,81.7,60.65,0.62
511,0.76895642,11.9,19.6,47.63,0.39
513,5.790909091,17.6,54.2,41.07,0.3
515,15.43411445,19.9,113.2,49.08,1.21
516,15.20630967,19.1,117.6,48.15,0.17
518,34.83043478,22.1,202.3,52.84,0.19
519,9.433333333,17.1,94.5,47.48,0.1
520,7.442509204,19.5,55.5,36.34,0.22
521,3.412844037,14.9,47.7,45.21,0.98
522,10.09165933,18,89,47.6,0.25
523,4.298237571,15.6,58.4,58.18,4.37
526,19.17522727,22.6,104.7,41.45,0.04
527,16.7408855,18.5,140.1,51.73,0.29
528,3.813559322,15.1,51.1,64.2,0.07
529,3.621794872,15.1,47.6,44.17,0.14
531,10.20688842,16,118.3,52.23,0.12
533,41.46504559,23.4,214.6,51.97,0.11
534,8.305317324,19.1,65.2,49.93,0.61
535,4.581018398,15.8,54.7,42.65,0.2
538,32.66943204,31.5,117.5,43.77,6.26
540,2.433130105,14.2,38.6,45.1,0.89
541,7.91702432,17.5,75.5,51.67,0.91
542,8.881889764,17.3,86.7,58.71,0.6
543,8.114527504,16.8,83.6,46.81,0.13
544,12.55357143,18.6,103.2,50.21,0.12
545,1.186524057,12.9,23.9,41.15,0.62
546,3.407528457,15.9,40.5,42.02,0.48
547,21.91556245,20.6,146.6,50.24,0.25
548,10.60237801,18.2,95.7,51.64,1.96
549,23.32698872,23,131.2,47.61,2.02
551,5.359477124,17,54.1,41.74,0.05
552,15.2,19,120.2,51.18,0.15
553,5.210144928,15.9,85.2,43.82,0.17
554,19.65517241,19.1,155.6,69.51,0.2
555,1.059701493,12.5,23.1,40.19,0.39
556,1.255319149,12.7,26,65.33,0.25
557,4.768974309,16.1,54.9,43.12,0.3
558,7.933203315,20.7,56.6,55.42,3.45
559,165.0807258,30.2,552.9,56.26,0.59
560,3.458363505,14.9,47.5,45.54,0.32
561,18.41639551,25.4,88.5,40.99,2.96
562,4.603745318,16,53.9,42.88,0.71
563,55.45234296,25.7,245.1,54.44,0.55
564,12.81436868,21.8,3732.5,38.5,0.05
566,42.13881177,24.3,204.1,54.76,0.23
567,13.53299347,20.7,90.9,45.1,0.81
568,24.54107709,21.9,145.4,53.26,0.38
569,1.01980198,14.8,14.3,22.94,0.08
570,3.387596899,13.7,57.3,55.97,0.12
574,26.31804109,27,104.9,37.44,0.05
577,7.040659341,17.2,70.8,50.22,1.11
579,1.19607409,12.6,26,41.75,0.58
580,4.00625,16.1,44.9,42.69,0.21
581,0.538889267,11.4,15.3,39.51,0.58
582,12.85,18.4,108.5,56.63,0.52
583,3.35669083,15.5,41.6,39.49,0.08
584,8.718365728,17.5,82.4,48.92,0.48
586,8.250755287,18,74.3,44.88,0.89
587,2.805897952,14.9,39.5,42.92,1.38
588,10.64705882,17.9,93.5,49.01,0.23
591,6,16.4,66.7,43.73,0.12
592,2.831167154,12.6,61.4,48.05,0.55
594,18.18425482,22.1,107.4,45.72,0.74
595,3.287478233,15.3,42.9,44.15,0.71
597,1.423416651,13.6,25,49.61,0.39
598,90.22970068,28.1,341.4,53.74,0.51
599,9.008248969,17.4,85.3,46.29,0.19
600,18.06764706,19.7,131.9,48.42,0.31
601,84.02967359,24.9,388.3,61.62,0.02
605,2.847630355,14.8,40,42.78,0.57
606,17.06735478,22.5,94.9,38.86,0.07
607,2.980564723,15.4,37.9,40.07,0.38
608,10.9378882,19.6,80.9,45.37,0.12
611,18.37943835,18.8,1317.4,56.43,0.37
612,5.52173913,16.7,57.9,51.96,0.11
613,6.483528966,15.9,77.2,59.81,0.15
614,1.435598569,15.2,20.5,35.59,3.69
616,15.94533802,25.5,74,35.13,1.87
618,0.856271388,12,21.6,42.81,0.94
622,13.76795413,19.9,98.9,44.67,0.08
623,3.101008817,15.1,41.3,40.9,0.37
626,20.25024155,24.5,101.4,44.27,2.14
628,53.9152237,29,207.1,50.23,3.3
631,12.55711154,19.3,95.2,57.81,0.29
633,2.734671126,15.3,35.4,39.99,0.35
634,29.45875955,22.9,158.5,57.66,0.1
635,1.503241491,13.5,26.9,41.09,0.22
637,8.593168433,15.5,107.5,69.68,0.15
640,1.321814255,11.2,40.4,50.59,0.89
641,20.01892053,21.5,129.3,58.37,2.37
643,5.990623131,19.8,45.6,42.9,2.29
646,33.75601926,25.5,153,48.44,0.89
647,21.87691866,17.5,206,59.68,0.29
648,13.11499127,19.2,103,53.85,0.94
649,5.521422611,19.4,43.7,37.33,2.32
651,4.220586516,21.6,28.3,25.31,4.18
652,25.16774194,19.8,181.5,67.48,0.25
653,9.314239435,14.7,137.9,51.78,1.79
656,0.179881218,10.8,6.4,24.6,3.22
657,3.452615211,15.3,44.7,42.3,0.63
658,76.04433292,29,276.6,51.38,1.06
659,3.330200081,14.6,48.2,45.72,0.15
661,12.35231317,18.9,97.9,59.13,0.16
663,6.722773838,18.8,56.3,41.03,1.73
665,35.57902736,30.8,114.1,42.55,0.08
666,20.21722628,20.5,136.7,48.25,0.37
668,1.776903974,14.1,28.2,38.89,0.35
670,14.76952563,19,116.7,49.66,0.11
671,68.75379104,33,211.9,49.26,2.94
674,33.98152208,20.4,230,53.44,0.19
675,8.79350211,17.8,80.7,46.08,0.79
676,12.001406,19.3,91,42.49,0.25
677,3.228084773,16.2,36.6,38.05,0.72
678,0.552775933,12.7,11.6,22.81,0.26
679,11.57494867,18.8,92.9,50.66,0.18
680,8.234857051,17.1,83.2,45.32,0.75
681,2.657219456,14.4,40.2,43.36,0.6
683,7.382295865,17.7,68.1,43.39,0.17
685,6.249468524,17.8,58.7,42.02,1.42
686,8.027061856,27.6,36.8,28.14,7.25
687,16.53760459,16.4,183,78.96,0.4
688,7.923295542,16.4,86.9,51.93,0.46
689,6.780874157,15.8,80.4,48.99,0.21
690,45.58410463,23.8,231.7,66.2,0.34
691,52.64667998,28.2,239.3,74.76,8.54
693,5.35718796,18.8,43.3,39.31,0.43
694,15.68627553,22.6,91.7,44.61,2.31
697,56.34442785,22.7,308.4,52.1,0.14
699,6.917188368,18.7,58.5,43.65,1.82
701,1.107790279,13.6,19.7,35.81,1.53
702,39.91095189,24.5,194,49.41,0.82
703,14.30761671,20.1,99.9,49.25,0.22
704,8.846416382,16.9,90,50.38,0.24
705,0.573844419,11.9,14.5,39.03,0.54
707,8.10652921,17.1,81.2,48.31,0.26
708,19.25425868,19.5,145.3,58.22,0.58
709,22.26693667,22.8,121.4,42.67,0.09
710,8.882724252,17,90,47.7,0.54
711,19.23696534,27.6,87.1,42.35,6.64
714,26.48984541,22.5,149.3,47.09,0.44
716,65.6182422,27.3,263.5,49.86,1.02
718,1.837622778,14.2,29,38.34,0.69
720,2.469706621,15.2,33.1,39.82,1.42
721,7.555601093,16.8,77.9,48.51,0.29
722,21.1630102,22,123.6,48.25,0.07
723,11.26764057,21.5,73.8,42.75,2.71
724,3.5,15.5,43.2,40.33,0.14
725,8.96039604,16.7,95.4,50.85,0.19
726,25.03030303,21.8,150.3,51.19,0.34
727,2.62786533,15.1,35,41.05,0.29
728,2.255662188,14.5,33,39.81,0.15
729,11.8492569,19.1,93,50.52,0.33
730,5.948301329,13.6,101.8,85.34,0.14
732,4.378546541,15.4,55.8,43.88,0.2
733,14.89077312,19.3,114.6,53.49,0.37
736,6.46263911,20.3,47.3,39.92,2.66
737,44.65594935,28.1,171.3,56.25,1.1
738,57.61941748,27.1,225.4,48.32,0.02
740,44.7066329,22.6,250.4,56.54,0.57
741,67.3952497,29.7,233.3,52.09,0.62
742,4.563357546,16.3,52.1,47.08,1.47
744,51.04676191,17.1,511.3,60.49,0.64
745,11.16467026,19.9,80.5,42.06,0.22
746,15.57939114,20.2,108.6,46.53,0.09
747,2.913504941,16.6,31.3,32.49,0.71
748,4.608892418,15.5,57.7,44.5,0.53
750,2.417082534,15.4,30.8,34.38,0.07
752,9.891023367,20,71.1,44.67,0.89
753,94.90720427,37.2,242.4,51.14,2.85
754,13.5082897,20.9,89.4,42.08,1.07
755,0.529437837,10.2,21,51.39,0.32
756,44.33250311,22.9,243.5,56.98,0.74
757,5.909215811,16.1,68.4,45.72,0.56
758,10.43330088,17.7,96.6,47.31,0.3
759,0.417597476,11.3,12.7,41.84,1.53
760,6.055599163,16.1,68.8,44.96,0.1
761,26.39457071,23.2,138.4,46.89,0.07
762,21.37774112,18.6,176.8,50.54,0.21
763,28.07363943,19.7,205.5,54.84,0.36
765,7.227616213,15.1,96.2,49.52,0.17
766,1.650476346,14.2,26,37.79,0.55
767,44.973372,24.1,224.5,55.47,0.75
768,1.93908046,13.3,36.2,47.62,0.56
770,1.835249323,15.1,24.2,35.23,0.2
773,8.029069767,19.1,66.8,44.49,2.75
774,2.063865546,14.2,31.6,40.42,0.15
775,4.138266298,16.1,47.4,43.55,0.44
776,15.81268012,18.8,126.5,55.3,0.26
777,8.458017955,16.5,91.5,49.12,0.12
778,65.05633803,27.6,255,50.91,0.13
779,2.825242718,14.2,44.3,44.41,0.33
781,6.461003477,16.7,67.7,43.87,0.28
782,8.958860081,17.8,84.8,49.83,2.11
783,4.051103944,15.4,52.1,44.92,0.45
784,9.062047229,17.2,90.4,48.05,0.87
786,4.90209205,16.1,56.6,43.63,0.49
788,16.91168551,20.2,116.7,51.14,0.05
789,5.409274821,16.5,58.6,43.44,0.34
790,24.92966194,23.5,127.5,44.56,0.09
791,7.521881838,19,58.8,45.05,0.08
792,3.227441286,14.9,45.9,49.42,1.35
793,2.394785149,15.5,31,38.76,1.46
795,2.281242205,14.7,32.7,38.89,0.49
796,22.68932797,20.4,154.4,48,0.33
798,0.325861966,10.8,10.9,36.72,0.72
799,258.7966574,13.5,4646.4,162.66,0.39
800,10.88551165,21.9,63.1,34.46,0.02
804,1.173680569,13.1,23.3,40.97,1.6
805,0.921409214,12.7,19.3,37.22,0.26
806,12.07051492,18.1,106.5,47.47,0.39
809,15.89806751,18.3,137.1,49.64,0.32
810,0.486178693,13.3,9,19.94,0.73
811,0.537552016,12.2,13,31.74,1.93
812,6.857273559,20.6,45.6,27.92,0.11
818,10.75329039,17.8,96.6,46.05,0.22
820,8.143678161,16.7,85.7,47.53,0.4
822,25.97015986,21.9,155.8,48.12,0.03
823,9.99539102,19,78.1,42.79,0.13
825,2.401806531,11,76.4,51.03,0.55
826,16.13219124,18.1,140.6,48.63,0.18
829,10.81921296,17.9,96.8,49.82,0.28
830,3.175104505,17.1,31.7,32.16,0.33
831,11.78195489,20.1,82.8,42.59,0.21
833,3.345250172,13.7,56.8,51.09,0.41
834,8.719038268,20.4,63.1,43.4,2.66
835,26.34620913,21.6,161.3,47.12,0.4
836,12.61351052,17.3,123.9,78.98,0.82
837,11.71261517,20.3,83.4,48.84,1.71
840,27.63854771,24.7,136.8,47.35,2.27
841,0.902292171,12.4,21.1,42.02,2.15
842,6.745575999,16.2,75.9,49.85,0.45
844,3.262819916,14.6,48.1,47.98,0.8
845,4.602357878,15.5,57.5,46.69,0.1
847,18.72578763,19.6,138.4,53.52,0.25
848,5.190052568,20.1,37.6,30.95,1.5
850,50.12201365,25.3,224.1,53.44,0.13
852,2.068774006,14.4,31.3,38.45,0.6
853,11.5995372,21.5,72.9,41.46,1.27
855,21.31155589,19.8,155.4,77.96,0.49
856,38.32475019,23.8,203.4,76.12,2.32
857,6.987263944,17,72,53.26,0.93
858,12.23054181,15,165.3,51.53,0.13
859,4.658548466,16.5,50,43.13,0.27
860,0.163206477,11,5.2,16.75,0.54
861,23.62795835,21.8,140.1,45.42,0.18
863,3.34912954,15.8,40.5,42.36,0.94
864,6.915216124,16.3,82.9,55.83,3.46
865,3.88964668,15.1,53.7,63.02,1.82
867,8.342394372,17.4,79.8,46.56,0.4
868,30.66249515,24.5,152,49.4,1.74
869,6.407110092,18.3,55.8,46.11,1.05
871,139.9938469,27.9,536.6,94.37,0.67
873,5.338869196,16.5,59.1,48.17,1.52
874,9.102579132,19.3,71.2,47.01,1.34
875,5.342157901,14.2,84.4,49.34,0.73
877,3.365455288,13.1,65.4,64.8,0.71
879,3.515849057,15.8,42,40.87,0.46
880,27.79162778,24.1,140.3,46.45,1.04
881,34.09734863,22.8,188.9,51.02,0.53
882,10.94657149,18.9,87.5,44.85,0.3
883,28.37636081,20.3,194.7,52.66,0.18
884,26.61628255,23.9,134.6,51.08,0.58
885,8.396599957,20.2,60.9,41.64,2
886,2.398639864,14.3,36.5,41.97,0.29
887,11.8638017,18,106.3,48.66,0.43
890,5.406940396,15.1,77.6,70.09,3.51
892,4.427628712,18,42.8,43.44,3.88
893,102.6789737,23.9,521.1,146.07,0.62
894,3.579586121,18.3,32.1,31.67,1.93
896,14.27232449,27.3,69.8,42.63,9.35
898,45.40596198,22.9,251.9,71.54,1.07
900,4.86047941,15.2,64.3,47.17,0.45
901,3.525835866,17.1,37.8,40.53,3.17
902,1.6141586,13.3,30.2,44.09,1.15
907,2.182299404,18.8,19.2,25.31,3.79
910,16.1165122,23.9,85,44.19,2.24
912,14.67788246,18.7,118.5,48.7,0.09
913,5.872212866,18.4,52.1,41.83,2.02
917,7.645043478,16.9,77.5,45.81,0.16
919,3.746755371,15.8,44.9,42.82,0.51
920,5.071881312,16.9,52.1,43.86,0.4
921,23.52895358,19.6,175,52.03,0.49
922,4.159489051,16.8,42.6,37.39,0.25
923,8.329426614,17.1,82.8,45.54,0.18
925,0.438597024,11.5,12.3,32.64,0.5
927,15.1656575,18.3,130.2,48.28,0.47
928,3.9375,14.7,56.1,47.9,0.25
929,1.587351087,13.5,28.8,55.79,0.86
930,5.840378944,17,59.6,43.44,0.52
931,10.64132434,18.1,93.8,55.68,0.36
932,7.979847992,14.2,127.8,55.97,1.27
933,44.76086957,24.4,214.8,51.91,0.29
934,0.658335746,11.9,17,39.37,1.08
936,237.3106682,31.7,740,71.73,0.91
937,13.22766866,20.8,87.3,49.59,0.37
938,169.8623079,35.5,447.1,53.43,1.19
939,41.37878286,24,216.5,50.88,2.11
940,16.32816066,21.3,102.3,46.44,0.49
942,8.396622614,17,84.7,57.24,0.56
943,4.732479883,14.1,78.4,55.09,2.44
944,8.194966839,15.9,95.9,53.59,0.3
946,35.34356467,22.3,203,57.87,0.37
947,5.828039551,15,78.8,55.43,0.3
948,10.9361268,18.9,88.2,45.53,0.4
949,29.47443182,25,135,45.48,0.1
951,21.26372998,19.9,152.9,57.73,0.35
954,6.299610895,17.5,59,41.1,0.17
955,4.565984627,18.2,39.2,35.23,0.21
956,32.9793058,23.1,180.3,55.17,1.03
958,48.0480226,22.3,270.8,87.31,0.21
959,5.06080816,16.8,52.6,42.2,0.56
960,7.541308793,17.7,68.6,42.57,0.11
961,4.702009702,17,47.6,55.57,0.52
962,44.68520264,19.7,328.2,68.86,0.05
964,40.64560541,24.7,195.7,61.07,0.97
965,81.45452163,28.1,306.5,50.24,0.36
966,9.734006734,18.4,81.6,44.03,0.15
967,2.194914836,14.3,34.3,43.1,1.55
968,20.64183248,21.8,122.9,46.24,0.16
969,9.448492462,18.2,81.1,48,0.11
970,3.774457304,16.8,39.1,37.65,0.44
971,11.62101469,18.3,99.9,47.12,0.21
973,4.102135949,16.1,48.4,44.04,1.29
975,1.941553034,15.1,27,37.18,1.78
976,17.71017699,21.8,105.6,46.46,0.09
977,2.142638716,15.2,28.4,36.58,0.55
979,8.340765208,18,74.9,52.43,0.74
980,3.71385323,15.9,45.2,43.64,1.95
981,65.00412279,22.2,378.8,91.71,0.81
982,12.58395312,20.5,87.4,48.85,1.23
983,137.1397035,30.1,459.7,57.29,0.3
984,42.7405303,24.4,206.5,55.93,0.4
985,6.500309215,17.4,62.4,44.39,0.05
986,1.674852124,13.5,29.9,40.8,0.63
987,6.023777912,17.5,56.6,41.79,0.27
988,33.47545972,21.6,202.8,48.81,0.15
989,4.668478261,15.6,57.3,48.78,0.24
990,28.81191908,20.1,201.1,50.22,0.1
991,2.005109739,13.9,33.6,47.05,0.81
992,17.64119279,19.9,126.4,51.4,0.28
993,0.68892261,12,17.1,38.62,1.13
995,7.9128734,17.9,70.9,43.61,0.11
996,4.320169918,15.8,51.7,41.72,0.12
998,2.086501784,14.8,29.2,36.49,0.1
999,3.152863151,14.9,43.8,43.51,0.16
1001,30.58478261,21.4,187.9,50.41,0.11
1002,4.924246943,15.3,69.3,46.53,0.1
1003,14.67713407,18.3,125,48.15,0.15
1004,18.96543899,22,111.9,46.19,0.45
1007,9.014247914,17.2,88.4,47.22,0.43
1008,1.026737968,12.3,23.5,40.72,0.07
1009,1.622305996,13.6,28,38.8,0.23
1010,50.28036053,23.2,267.2,55.13,0.26
